merchant_id,payment_month,mtu_type,txn_count,gmv,churn_month
IpEQskjOmcZfGA,2022-03-01,Retained,16,8669.92,
IpEQskjOmcZfGA,2022-05-01,Retained,9,3545.6,
IpEQskjOmcZfGA,2022-09-01,Retained,3,1756.34,
It58PETtL6Dxgq,2023-05-01,Revived,1,1637.65,2023-06-01
J2VBzPbvkNSUGl,2022-09-01,Retained,12,157850.52,
J2fxlWf3q44ePf,2022-03-01,New,1,1.0,2022-04-01
J6ce37dSmyYhzD,2022-03-01,New,3,298.0,2022-04-01
JCXoFsRy50S61y,2022-09-01,Revived,1,46000.0,2022-10-01
JCnWppTenUDvwM,2022-05-01,Retained,83,94969.0,
GRtzOvoqJ7wXVK,2023-04-01,Retained,3,22532.0,2023-05-01
GSJT4F9Y7BsvyO,2022-02-01,Revived,1,1070.0,
GUKRVeiMHy6F2N,2021-07-01,New,1,499.0,2021-08-01
KS9D165fCeK4QA,2022-11-01,Retained,4,140.0,
KZEZxvuPxLbghg,2023-04-01,New,2,16.0,2023-05-01
KfpS0VbTpzdyy1,2023-06-01,Retained,3,1197.0,
Ji6e0O4n7yAtIL,2022-11-01,Retained,183,54717.0,
Js6dw56Y2KYSwq,2022-09-01,Retained,198,756277.58,
Ju7BAXcYYHxHJ2,2022-09-01,Retained,1,15000.0,
KHIkR0qv2o4Q7t,2023-01-01,Retained,3,249.0,2023-02-01
KI4Mcf2KdRdJmR,2022-11-01,Retained,12,11000.0,
KOYrYovFjA4XxY,2022-10-01,New,2,2.0,2022-11-01
KQ9LWqEtsoXPnL,2022-10-01,New,1,10.0,2022-11-01
KTbQmcf6MQOhNZ,2022-11-01,New,1,100.0,
KgH5iB4kB0suTt,2022-12-01,New,1,99.0,2023-01-01
GUbIaVmfACit7j,2023-06-01,Retained,19,0.0,
Gl4FyI8MddLscy,2021-07-01,New,40,55285.0,
GpH9KAQEEIEPh7,2022-10-01,Retained,1,1350.0,2022-11-01
IncD2bDCGZe3Iy,2022-04-01,Retained,3,11001.0,2022-05-01
IvNpE25J7XweDa,2022-11-01,New,1,1.0,
IycCgJZjv5etZa,2022-03-01,New,1,90.0,2022-04-01
J8ANoiBxpwD9er,2022-03-01,New,19,13260.0,
JGadUoFYfrIl9Z,2022-04-01,New,1,10.0,2022-05-01
JGpbKx0sncrqEx,2022-04-01,New,1,113.0,2022-05-01
JH8U4fOasSlnb5,2022-05-01,Retained,1,35.0,
JKr8VmzlxFdX5k,2022-04-01,New,1,150.0,2022-05-01
JL8s2HUrJvkO4W,2022-05-01,Retained,1,10000.0,
JTSc02QCc6hP50,2022-10-01,Revived,2,1456.0,2022-11-01
JGnEYkVFltnfMZ,2022-04-01,New,1,299.0,2022-05-01
BQQoP3prvngbFJ,2022-01-01,Retained,1083,1004929.09,
AcytnGJc44VYwM,2022-10-01,Revived,1,13000.0,
7V2J6c32LJ8OE3,2022-01-01,Retained,53,118700.0,
7V2J6c32LJ8OE3,2022-11-01,Retained,65,132940.0,
7jK3cYTZvg77HV,2022-07-01,Retained,14,142573.64,2022-08-01
8aq2IYq11F9Tad,2022-01-01,Retained,18,93060.0,
D8YrZlX1xMSZLn,2022-05-01,Retained,3,35232.91,
DyKngDaxoRSZjG,2022-05-01,Retained,55,38534.0,
DyKngDaxoRSZjG,2022-09-01,Retained,3,1175.0,
DyKngDaxoRSZjG,2022-11-01,Retained,2,1175.0,
E5BMxWOYXgD3qD,2021-11-01,Retained,6,1969.0,2021-12-01
E7Rg4RwdtyHu8s,2022-05-01,Retained,35,51734.0,
E7Rg4RwdtyHu8s,2022-09-01,Retained,24,37664.0,
E7Rg4RwdtyHu8s,2022-10-01,Retained,20,30591.0,
E7Rg4RwdtyHu8s,2023-06-01,Retained,23,45105.0,
EF1cYbyVi6BW77,2023-05-01,Retained,1,306.5,2023-06-01
K6zkdfuwsA991x,2023-06-01,Retained,84,71022632.42,
K70IYYYLl6ssAT,2022-11-01,Retained,1,5600.0,
KCx8wc48YbboDq,2023-05-01,Revived,3,597.0,2023-06-01
KD6F83h3QPu7Ds,2022-09-01,New,1,10.0,2022-10-01
KLImjk6qrYOnSc,2022-09-01,New,2,30.0,2022-10-01
KVg77IH65bQm2F,2023-04-01,Retained,187,53263.0,2023-05-01
KqX27x9GqE4kZK,2022-12-01,New,10,1948.0,2023-01-01
Izk9XBQPNCVm5V,2022-07-01,New,1,10.0,2022-08-01
J8ouJpEgBzdWVh,2022-03-01,New,1,1.0,2022-04-01
J9KRbincFV60fY,2022-04-01,Retained,6,6.0,2022-05-01
JBMNmwR4Sie2Pc,2022-04-01,Retained,5,34.54,2022-05-01
JDgJslnDUAWo4f,2023-06-01,Retained,2,1980.0,2023-07-01
JPSu0chiZsuqRR,2022-11-01,Retained,6,81001.0,
JPa2AghkdHR8Xy,2022-05-01,New,19,1028.0,
JfJUBjYbZWZeAU,2022-10-01,Retained,1,1301.81,2022-11-01
Jku2pCBmerDsAT,2022-11-01,Retained,1,799.0,
JocBO4N1Im0IjV,2023-06-01,Revived,1,100.0,2023-07-01
JumdI18iHL1Upp,2022-11-01,Retained,112,394788.67,
JyGjyZfI5DPL96,2022-09-01,Retained,20,14919.0,
CDYOHCXNlX6v18,2022-11-01,Retained,4,1412.0,
CIK2mhuRxhnWzv,2022-09-01,Revived,1,18000.0,
D3p1VGFdTzBLUs,2022-03-01,Revived,3,32445.0,
CStZx8S3uxQfiC,2021-08-01,Retained,10693,7019222.98,
CStZx8S3uxQfiC,2022-07-01,Retained,5357,3251987.14,
CYUSH3BuowFO5k,2021-07-01,New,60,1369506.0,
CmuRLXzN1tvqCx,2022-03-01,Retained,3,1526.05,
CnEgyN7naVjbAX,2021-09-01,New,1,25000.0,2021-10-01
CuF7YxmsGtmgfb,2021-07-01,New,14,60450.0,
CuF7YxmsGtmgfb,2022-04-01,Retained,5,19350.0,
D4zeggM4gLEJsU,2022-09-01,Retained,236,422733.26,
BcQq8YJToOp5J9,2022-01-01,Retained,1,741.32,2022-02-01
ChB4LiQG1VqCcw,2022-04-01,Retained,2,30090.0,
CoKtoMKi4Cmapg,2021-09-01,Retained,73,1217982.0,
CoKtoMKi4Cmapg,2022-04-01,Retained,77,1135046.0,
CoKtoMKi4Cmapg,2022-09-01,Retained,46,737177.0,
D1iBNZMmQbuxXr,2023-06-01,Revived,1,10995.0,2023-07-01
DDR6b7FrLJs4VO,2022-02-01,Revived,2,82873.0,2022-03-01
DI5oqUR62fFpVd,2021-07-01,New,24,3262540.26,
DUe3QIiX73fFzf,2021-07-01,New,16,468863.92,
DUe3QIiX73fFzf,2022-04-01,Retained,27,750587.92,
DdrsTgA7yRuIqx,2022-09-01,Retained,11,4030.0,
DdrsTgA7yRuIqx,2023-03-01,Retained,17,5405.0,
DhpS4sV5hdj9iR,2022-04-01,New,2,76546.0,2022-05-01
DlQ1GCVbyBq2jj,2022-07-01,Retained,3232,2281405.61,
DlQ1GCVbyBq2jj,2022-11-01,Retained,3780,3143070.94,
EQs0XiniOhJpYO,2021-11-01,Retained,1,2048.0,2021-12-01
EckmpKJmWIEgIq,2021-07-01,New,2,1100.0,
EjzhcfuW0BKBoj,2022-04-01,Retained,365,1212448.8,
EjzhcfuW0BKBoj,2022-09-01,Retained,640,3291683.43,
DMMYhQzcqrMsdk,2022-11-01,Retained,3,4298.0,
DqOJ850MaCnNt0,2022-07-01,Retained,91,199336.0,
DqOJ850MaCnNt0,2022-11-01,Retained,74,205066.0,
EI7E8K6BYovYi0,2021-11-01,New,1,100.0,2021-12-01
EO20fJF3cnXyqi,2021-08-01,Retained,8,272934.0,
EO20fJF3cnXyqi,2022-11-01,Retained,6,112995.62,
ESxbSKjYDWCKVD,2022-04-01,Retained,39,110000.0,
ESxbSKjYDWCKVD,2022-09-01,Retained,29,85000.0,
ESxbSKjYDWCKVD,2023-06-01,Retained,23,65000.0,
EZrFyfDHJTOq2K,2021-08-01,Retained,11,4566.45,
Ea7enAK9s6mx9d,2021-11-01,New,2,1860.0,2021-12-01
EbAg0YVLIaJNtm,2021-07-01,New,26,80351.0,
EbAg0YVLIaJNtm,2022-04-01,Retained,11,16925.0,
Fl6gNdYn1DjNho,2022-02-01,Retained,3,321.0,
Fl6gNdYn1DjNho,2022-04-01,Retained,8,4645.0,
FlGencQSsFvze1,2021-11-01,Retained,8,8249.0,2021-12-01
FscVGJEeBFqgV7,2022-09-01,Retained,39,87840.58,
F3EQQVkixtwwpi,2021-08-01,Retained,420,358765.77,
F3EQQVkixtwwpi,2022-11-01,Retained,68,49210.07,
F8JQdseLg9HkoG,2021-08-01,Retained,427,7169673.0,
F8JQdseLg9HkoG,2022-03-01,Retained,648,4967309.0,
FX0KYZIY48X3cR,2022-02-01,Retained,6,30349.0,
FX0KYZIY48X3cR,2022-09-01,Retained,3,16231.0,
F8K6JWGeU7jTOg,2023-03-01,Retained,1,10.0,2023-04-01
FJnzGakFnFpKHl,2022-09-01,Retained,57,343250.0,
FOxjAJvb5xZpQI,2023-06-01,Revived,1,765.0,2023-07-01
FP7pFmTh2iSaPu,2022-10-01,Retained,2,6021.0,2022-11-01
FSCs8d6a2XIrin,2023-06-01,Retained,267,228249.39,
FT2bpMbJr6XIHs,2021-09-01,Retained,238,318389.92,
FT2bpMbJr6XIHs,2022-02-01,Retained,219,192238.83,
FT2bpMbJr6XIHs,2022-09-01,Retained,257,209315.68,
FinryirINGHwuB,2021-09-01,Retained,72,439128.24,
FinryirINGHwuB,2022-02-01,Retained,93,811584.28,
FinryirINGHwuB,2022-09-01,Retained,116,659738.4,
FinryirINGHwuB,2022-11-01,Retained,66,339865.9,
Fj9feU9uF0UDGa,2022-07-01,Retained,7,104125.46,
Fj9feU9uF0UDGa,2022-11-01,Retained,6,154918.41,
FjHLDBfcLl48au,2021-11-01,New,1,43000.0,2021-12-01
FwcFkZ7EEA9bFV,2022-01-01,Revived,1,8998.0,2022-02-01
